P6	head of government (P6)
P7	brother (P7)
P9	sister (P9)
P16	highway system (P16)
P17	country (P17)
P19	place of birth (P19)
P20	place of death (P20)
P21	sex or gender (P21)
P22	father (P22)
P25	mother (P25)
P26	spouse (P26)
P27	country of citizenship (P27)
P30	continent (P30)
P31	instance of (P31)
P35	head of state (P35)
P36	capital (P36)
P37	official language (P37)
P38	currency (P38)
P39	position held (P39)
P40	child (P40)
P43	stepfather (P43)
P44	stepmother (P44)
P47	shares border with (P47)
P50	author (P50)
P53	noble family (P53)
P54	member of sports team (P54)
P57	director (P57)
P58	screenwriter (P58)
P59	constellation (P59)
P61	discoverer or inventor (P61)
P65	site of astronomical discovery (P65)
P66	ancestral home (P66)
P69	educated at (P69)
P78	top-level internet domain (P78)
P81	connecting line (P81)
P84	architect (P84)
P85	anthem (P85)
P86	composer (P86)
P87	librettist (P87)
P88	commissioned by (P88)
P91	sexual orientation (P91)
P92	main regulatory text (P92)
P97	noble title (P97)
P98	editor (P98)
P101	field of work (P101)
P102	member of political party (P102)
P103	native language (P103)
P105	taxon rank (P105)
P106	occupation (P106)
P108	employer (P108)
P110	illustrator (P110)
P111	measured physical quantity (P111)
P112	founder (P112)
P113	airline hub (P113)
P114	airline alliance (P114)
P115	home venue (P115)
P118	league (P118)
P119	place of burial (P119)
P121	item operated (P121)
P122	basic form of government (P122)
P123	publisher (P123)
P126	maintained by (P126)
P127	owned by (P127)
P129	physically interacts with (P129)
P131	located in the administrative territorial entity (P131)
P134	has dialect (P134)
P135	movement (P135)
P136	genre (P136)
P137	operator (P137)
P138	named after (P138)
P140	religion (P140)
P141	IUCN conservation status (P141)
P143	imported from (P143)
P144	based on (P144)
P149	architectural style (P149)
P150	contains administrative territorial entities (P150)
P155	follows (P155)
P156	followed by (P156)
P157	killed by (P157)
P159	headquarters location (P159)
P161	cast member (P161)
P162	producer (P162)
P163	flag (P163)
P166	award received (P166)
P167	structure replaced by (P167)
P169	chief executive officer (P169)
P170	creator (P170)
P171	parent taxon (P171)
P172	ethnic group (P172)
P175	performer (P175)
P176	manufacturer (P176)
P177	crosses (P177)
P178	developer (P178)
P179	series (P179)
P180	depicts (P180)
P183	endemic to (P183)
P184	doctoral advisor (P184)
P185	doctoral student (P185)
P186	material used (P186)
P189	location of discovery (P189)
P190	sister city (P190)
P193	main building contractor (P193)
P194	legislative body (P194)
P195	collection (P195)
P196	minor planet group (P196)
P197	adjacent station (P197)
P199	business division (P199)
P200	lake inflows (P200)
P201	lake outflow (P201)
P205	basin country (P205)
P206	located next to body of water (P206)
P208	executive body (P208)
P209	highest judicial authority (P209)
P210	party chief representative (P210)
P237	coat of arms (P237)
P241	military branch (P241)
P248	stated in (P248)
P263	official residence (P263)
P264	record label (P264)
P272	production company (P272)
P275	license (P275)
P276	location (P276)
P277	programming language (P277)
P279	subclass of (P279)
P282	writing system (P282)
P286	head coach (P286)
P287	designer (P287)
P289	vessel class (P289)
P291	place of publication (P291)
P301	category's main topic (P301)
P306	operating system (P306)
P344	director of photography (P344)
P355	subsidiary (P355)
P358	discography (P358)
P360	is a list of (P360)
P361	part of (P361)
P364	original language of work (P364)
P366	use (P366)
P371	presenter (P371)
P375	space launch vehicle (P375)
P376	located on astronomical body (P376)
P397	parent astronomical body (P397)
P398	child astronomical body (P398)
P399	companion of (P399)
P400	platform (P400)
P403	mouth of the watercourse (P403)
P404	game mode (P404)
P406	soundtrack album (P406)
P407	language of work or name (P407)
P408	software engine (P408)
P410	military rank (P410)
P411	canonization status (P411)
P412	voice type (P412)
P413	position played on team / speciality (P413)
P414	stock exchange (P414)
P415	radio format (P415)
P417	patron saint (P417)
P418	seal description (P418)
P421	located in time zone (P421)
P423	shooting handedness (P423)
P425	field of this occupation (P425)
P427	taxonomic type (P427)
P437	distribution (P437)
P447	score by (P447)
P448	location of spacecraft launch (P448)
P449	original network (P449)
P450	astronaut mission (P450)
P451	partner (P451)
P452	industry (P452)
P457	foundational text (P457)
P459	determination method (P459)
P460	said to be the same as (P460)
P461	opposite of (P461)
P462	color (P462)
P463	member of (P463)
P466	occupant (P466)
P467	legislated by (P467)
P468	dan/kyu rank (P468)
P469	lakes on river (P469)
P470	Eight Banner register (P470)
P479	input device (P479)
P483	recorded at (P483)
P485	archives at (P485)
P488	chairperson (P488)
P495	country of origin (P495)
P500	exclave of (P500)
P501	enclave within (P501)
P504	home port (P504)
P505	general manager (P505)
P509	cause of death (P509)
P511	honorific prefix (P511)
P512	academic degree (P512)
P514	interleaves with (P514)
P516	powerplant (P516)
P517	interaction (P517)
P518	applies to part (P518)
P520	armament (P520)
P521	scheduled service destination (P521)
P522	type of orbit (P522)
P523	temporal range start (P523)
P524	temporal range end (P524)
P527	has part (P527)
P530	diplomatic relation (P530)
P531	diplomatic mission sent (P531)
P532	port of registry (P532)
P533	target (P533)
P534	streak color (P534)
P537	twinning (P537)
P538	fracturing (P538)
P541	office contested (P541)
P542	officially opened by (P542)
P543	oath made by (P543)
P545	torch lit by (P545)
P546	docking port (P546)
P547	commemorates (P547)
P550	chivalric order (P550)
P551	residence (P551)
P552	handedness (P552)
P553	website account on (P553)
P556	crystal system (P556)
P559	terminus (P559)
P560	direction (P560)
P562	central bank/issuer (P562)
P565	crystal habit (P565)
P566	basionym (P566)
P567	underlies (P567)
P568	overlies (P568)
P579	IMA status and/or rank (P579)
P588	coolant (P588)
P589	point group (P589)
P598	commander of (P598)
P607	conflict (P607)
P608	exhibition history (P608)
P609	terminus location (P609)
P610	highest point (P610)
P611	religious order (P611)
P612	mother house (P612)
P618	source of energy (P618)
P624	guidance system (P624)
P629	edition or translation of (P629)
P631	structural engineer (P631)
P634	captain (P634)
P636	route of administration (P636)
P641	sport (P641)
P642	of (P642)
P647	drafted by (P647)
P655	translator (P655)
P658	tracklist (P658)
P660	EC classification (P660)
P664	organizer (P664)
P669	located on street (P669)
P674	characters (P674)
P676	lyrics by (P676)
P680	molecular function (P680)
P681	cell component (P681)
P682	biological process (P682)
P684	ortholog (P684)
P688	encodes (P688)
P689	afflicts (P689)
P690	space group (P690)
P693	cleavage (P693)
P694	replaced synonym (for nom. nov.) (P694)
P702	encoded by (P702)
P703	found in taxon (P703)
P706	located on terrain feature (P706)
P708	diocese (P708)
P710	participant (P710)
P720	asteroid spectral type (P720)
P725	voice actor (P725)
P726	candidate (P726)
P734	family name (P734)
P735	given name (P735)
P736	cover artist (P736)
P737	influenced by (P737)
P738	P738
P739	ammunition (P739)
P740	location of formation (P740)
P741	playing hand (P741)
P744	asteroid family (P744)
P747	edition(s) (P747)
P748	appointed by (P748)
